80673,6400900,單  81號以下,odd;<NUMBER:81
80670,6400900,單  83號以上,odd;>NUMBER:83
80673,6400900,雙  94號以下,even;<NUMBER:94
80670,6400900,雙  96號以上,even;>NUMBER:96
