32663,6800400,連 205號以下,=SECTION:1;<NUMBER:205
32663,6800400,連 207號至 345號,=SECTION:1;~NUMBER:207:345
32663,6800400,連 347號以上,=SECTION:1;>NUMBER:347
32656,6800400,　 206巷全,=SECTION:1;=LANE:206
32656,6800400,　 346巷全,=SECTION:1;=LANE:346
32663,6800400,全,=SECTION:2;all
32663,6800400,連 928號以下,=SECTION:3;<NUMBER:928
32669,6800400,　 929巷全,=SECTION:3;=LANE:929
32663,6800400,連 930號以上,=SECTION:3;>NUMBER:930
