70061,6703700,單 725號以上,odd;>NUMBER:725
70061,6703700,雙 752號以上,even;>NUMBER:752
70846,6703600,單 453號以下,odd;<NUMBER:453
70845,6703600,單 455號至 723號,odd;~NUMBER:455:723
70846,6703600,雙 418號以下,even;<NUMBER:418
70845,6703600,雙 420號至 750號,even;~NUMBER:420:750
