22151,6501100,單 327號以下,odd;<NUMBER:327
22152,6501100,單 329號至 349號,odd;~NUMBER:329:349
22151,6501100,單 351號以上,odd;>NUMBER:351
22151,6501100,雙 320號以下,even;<NUMBER:320
22152,6501100,雙 322號至 328號,even;~NUMBER:322:328
22151,6501100,雙 330號以上,even;>NUMBER:330
