30050,1001801,單  47巷以下,odd;<LANE:47
30050,1001802,單  53巷以上,odd;>LANE:53
30050,1001801,雙  46號以下,even;<NUMBER:46
30050,1001802,雙  52巷以上,even;>LANE:52
