60096,1002002,單 715巷以下,odd;<LANE:715
60097,1002002,單 717號以上,odd;>NUMBER:717
60096,1002002,雙 900號以下,even;<NUMBER:900
60097,1002002,雙 902號以上,even;>NUMBER:902
