70460,6703400,單  27號以下,odd;<NUMBER:27
70465,6703400,單  29號以上,odd;>NUMBER:29
70460,6703400,雙  58號以下,even;<NUMBER:58
70465,6703400,雙  60號以上,even;>NUMBER:60
