81157,6400400,單  69號至 211號,odd;~NUMBER:69:211
81168,6400400,單 581號至 801號,odd;~NUMBER:581:801
81168,6400400,單 811號至1099號,odd;~NUMBER:811:1099
81149,6400400,單1101號至1299號,odd;~NUMBER:1101:1299
81147,6400400,單1301號至1557號,odd;~NUMBER:1301:1557
81157,6400400,雙  24號以下,even;<NUMBER:24
81154,6400400,雙  46號至 398號,even;~NUMBER:46:398
81153,6400400,雙 400巷至 454巷,even;~LANE:400:454
81168,6400400,雙 456號至 702號,even;~NUMBER:456:702
81168,6400400,雙 800號至1012號,even;~NUMBER:800:1012
81149,6400400,雙1016號至1298號,even;~NUMBER:1016:1298
81147,6400400,雙1300號至1490號,even;~NUMBER:1300:1490
