91342,1001305,單 535號以下,odd;<NUMBER:535
91341,1001305,單 537號至 823號,odd;~NUMBER:537:823
91350,1001305,單 825號以上,odd;>NUMBER:825
91342,1001305,雙 558號以下,even;<NUMBER:558
91341,1001305,雙 560號至 798號,even;~NUMBER:560:798
91350,1001305,雙 800號以上,even;>NUMBER:800
