70043,6703700,單  21號以下,odd;<NUMBER:21
70050,6703700,單  23號以上,odd;>NUMBER:23
70043,6703700,雙   8號以下,even;<NUMBER:8
70050,6703700,雙  10號以上,even;>NUMBER:10
