80544,6401000,單 275號以下,odd;<NUMBER:275
80543,6401000,單 281號至 349號,odd;~NUMBER:281:349
80542,6401000,單 357號至 817號,odd;~NUMBER:357:817
80544,6401000,雙 288號以下,even;<NUMBER:288
80543,6401000,雙 290巷至 482號,even;~LANE:290:482
80542,6401000,雙 508號至 566號,even;~NUMBER:508:566
