55746,1000804,單  35號以下,odd;<NUMBER:35
55742,1000804,單  37號至  95號,odd;~NUMBER:37:95
55746,1000804,雙  56號以下,even;<NUMBER:56
55742,1000804,雙  56之   1號至 110號,even;~NUMBER:56之1:110
