81246,6401100,單 155號以下,odd;<NUMBER:155
81244,6401100,單 157號以上,odd;>NUMBER:157
81246,6401100,雙 152號以下,even;<NUMBER:152
81244,6401100,雙 154號以上,even;>NUMBER:154
