71056,6703100,單   3號以下,odd;<NUMBER:3
71068,6703100,單   7號至  33號,odd;~NUMBER:7:33
71085,6703100,單  35號至  49號,odd;~NUMBER:35:49
71056,6703100,雙   6號以下,even;<NUMBER:6
71068,6703100,雙   8號至  48號,even;~NUMBER:8:48
