40354,6600400,單  31號至  45號,odd;~NUMBER:31:45
40354,6600400,雙  40號至  54號,even;~NUMBER:40:54
40442,6600500,單  29號以下,odd;<NUMBER:29
40442,6600500,雙  38號以下,even;<NUMBER:38
