10358,6300600,單   7號以下,odd;<NUMBER:7
10346,6300600,單   9號以上,odd;>NUMBER:9
10358,6300600,雙  24號以下,even;<NUMBER:24
10346,6300600,雙  26號以上,even;>NUMBER:26
