10859,6300700,單  21號以下,odd;<NUMBER:21
10884,6300700,單  23號至  87號,odd;~NUMBER:23:87
10884,6300700,　  89巷   1號,=LANE:89;=NUMBER:1
10883,6300700,　  89巷連   2號以上,=LANE:89;>NUMBER:2
10883,6300700,單  91號以上,odd;>NUMBER:91
10884,6300700,雙  58號以下,even;<NUMBER:58
10883,6300700,雙  60號以上,even;>NUMBER:60
