30051,1001801,單 103號以下,odd;<103號
30051,1001802,單 105號至 363號,odd;105號~363號
30048,1001802,單 365號以上,odd;>365號
30051,1001801,雙 118號以下,even;<118號
30051,1001802,雙 120號至 414號,even;120號~414號
30054,1001802,雙 416號以上,even;>416號
