64044,1000901,單 135號以下,odd;<NUMBER:135
64055,1000901,單 137號以上,odd;>NUMBER:137
64044,1000901,雙  72號以下,even;<NUMBER:72
64055,1000901,雙  74號以上,even;>NUMBER:74
