40756,6600600,雙 176號以下,even;<NUMBER:176
40757,6600600,雙 180號至 206號,even;~NUMBER:180:206
40848,6600700,單 283號以下,odd;<NUMBER:283
40874,6600700,單 291號以上,odd;>NUMBER:291
40874,6600700,雙 396號以上,even;>NUMBER:396
