20491,1001706,單  31號以上,odd;>NUMBER:31
20491,1001706,雙  76號以上,even;>NUMBER:76
20641,1001702,單  29號以下,odd;<NUMBER:29
20641,1001702,雙  74號以下,even;<NUMBER:74
