10688,6300300,單  49號以下,=SECTION:1;odd;<NUMBER:49
10689,6300300,單  51號至  59號,=SECTION:1;odd;~NUMBER:51:59
10687,6300300,單  61號至  85號,=SECTION:1;odd;~NUMBER:61:85
10681,6300300,單  87號至 131號,=SECTION:1;odd;~NUMBER:87:131
10680,6300300,單 133號以上,=SECTION:1;odd;>NUMBER:133
10689,6300300,雙  58號以下,=SECTION:1;even;<NUMBER:58
10685,6300300,雙  60號至  84號,=SECTION:1;even;~NUMBER:60:84
10685,6300300,雙  86號至 112號,=SECTION:1;even;~NUMBER:86:112
10681,6300300,雙 114號以上,=SECTION:1;even;>NUMBER:114
10680,6300300,單 169號以下,=SECTION:2;odd;<NUMBER:169
10679,6300300,單 171巷以上,=SECTION:2;odd;>LANE:171
10680,6300300,雙 128號以下,=SECTION:2;even;<NUMBER:128
10679,6300300,雙 130號以上,=SECTION:2;even;>NUMBER:130
