26051,1000201,單 473號以下,odd;<NUMBER:473
26052,1000201,單 475號以上,odd;>NUMBER:475
26051,1000201,雙 506號以下,even;<NUMBER:506
26052,1000201,雙 508號以上,even;>NUMBER:508
