50444,1000707,單  67號以下,odd;<NUMBER:67
50442,1000707,單  69號至 151號,odd;~NUMBER:69:151
50444,1000707,單 153號以上,odd;>NUMBER:153
50444,1000707,雙 138號以下,even;<NUMBER:138
50442,1000707,雙 140號至 298號,even;~NUMBER:140:298
50444,1000707,雙 300號以上,even;>NUMBER:300
