10882,6300700,單   5號以下,odd;<NUMBER:5
10877,6300700,單   7號以上,odd;>NUMBER:7
10881,6300700,雙  80號以下,even;<NUMBER:80
10877,6300700,雙  82號以上,even;>NUMBER:82
