40654,6600800,單 155號以下,=SECTION:1;odd;<NUMBER:155
40675,6600800,單 157號至 183號,=SECTION:1;odd;~NUMBER:157:183
40652,6600800,單 185號至 287號,=SECTION:1;odd;~NUMBER:185:287
40654,6600800,雙 148號以下,=SECTION:1;even;<NUMBER:148
40675,6600800,雙 150號至 158號,=SECTION:1;even;~NUMBER:150:158
40652,6600800,雙 186巷至 308號,=SECTION:1;even;~LANE:186:308
40652,6600800,單   5號至  93號,=SECTION:2;odd;~NUMBER:5:93
40653,6600800,單  95號至 151號,=SECTION:2;odd;~NUMBER:95:151
40670,6600800,單 157號以上,=SECTION:2;odd;>NUMBER:157
40652,6600800,雙 114號以下,=SECTION:2;even;<NUMBER:114
40653,6600800,雙 116號至 180號,=SECTION:2;even;~NUMBER:116:180
40670,6600800,雙 218號以上,=SECTION:2;even;>NUMBER:218
