10591,6300100,單   3號以下,odd;<NUMBER:3
10590,6300100,單   5號以上,odd;>NUMBER:5
10591,6300100,雙  40號以下,even;<NUMBER:40
10590,6300100,雙  42號以上,even;>NUMBER:42
