40654,6600800,單  37號以下,odd;<NUMBER:37
40675,6600800,單  61號以上,odd;>NUMBER:61
40654,6600800,雙  60號以下,even;<NUMBER:60
40675,6600800,雙  76號以上,even;>NUMBER:76
