33382,6800700,單  89號以下,odd;<NUMBER:89
33376,6800700,單  91號至 247巷,odd;~LANE:91:247
33383,6800700,單 249號以上,odd;>NUMBER:249
33382,6800700,雙  86號以下,even;<NUMBER:86
33383,6800700,雙  88號以上,even;>NUMBER:88
