30541,1000403,單  25巷以下,odd;<LANE:25
30548,1000403,單  51號以上,odd;>NUMBER:51
30541,1000403,雙  88號以下,even;<NUMBER:88
30548,1000403,雙  36號以上,even;>NUMBER:36
