40748,6600600,單   9號以下,odd;<NUMBER:9
40747,6600600,單  11號以上,odd;>NUMBER:11
40748,6600600,雙   6號以下,even;<NUMBER:6
40747,6600600,雙   8號以上,even;>NUMBER:8
