60048,1002001,單 255號以下,odd;<NUMBER:255
60048,1002002,單 257號以上,odd;>NUMBER:257
60048,1002001,雙 246號以下,even;<NUMBER:246
60048,1002002,雙 248號以上,even;>NUMBER:248
