73657,6700400,單 399巷以下,odd;<LANE:399
73656,6700400,單 417號以上,odd;>NUMBER:417
73657,6700400,雙 390號以下,even;<NUMBER:390
73656,6700400,雙 392號以上,even;>NUMBER:392
