81147,6400400,單  57號至 451號,odd;~NUMBER:57:451
81148,6400400,單 453號至 629號,odd;~NUMBER:453:629
81147,6400400,雙  70號至 454號,even;~NUMBER:70:454
81148,6400400,雙 456號至 678號,even;~NUMBER:456:678
