55343,1000811,全,all
55844,1000807,單 105號以下,odd;<NUMBER:105
55843,1000807,單 107號以上,odd;>NUMBER:107
55844,1000807,雙 112號以下,even;<NUMBER:112
55843,1000807,雙 126號以上,even;>NUMBER:126
