43653,6601200,單  71號以下,odd;<NUMBER:71
43654,6601200,單  73號以上,odd;>NUMBER:73
43653,6601200,雙 132號以下,even;<NUMBER:132
43654,6601200,雙 134號以上,even;>NUMBER:134
