54557,1000802,單 265號以下,odd;<NUMBER:265
54553,1000802,單 271號至 399號,odd;~NUMBER:271:399
54557,1000802,雙 250號以下,even;<NUMBER:250
54553,1000802,雙 280號至 340號,even;~NUMBER:280:340
