36641,1000510,單  49號以下,odd;<NUMBER:49
36647,1000510,單  51號至  79號,odd;~NUMBER:51:79
36641,1000510,雙  36號以下,even;<NUMBER:36
36647,1000510,雙  38號至  52之   2號,even;~NUMBER:38:52之2
