80454,6400200,單 299號以上,odd;>NUMBER:299
80454,6400200,雙 316號以上,even;>NUMBER:316
81359,6400300,單 121號以下,odd;<NUMBER:121
81357,6400300,單 123號至 297號,odd;~NUMBER:123:297
81359,6400300,雙 124號以下,even;<NUMBER:124
81357,6400300,雙 126號至 314號,even;~NUMBER:126:314
