10458,6300400,單  51號以下,odd;<NUMBER:51
10485,6300400,單  53號以上,odd;>NUMBER:53
10458,6300400,雙  56號以下,even;<NUMBER:56
10485,6300400,雙  58號以上,even;>NUMBER:58
