36041,1000501,單 151號以下,odd;<NUMBER:151
36044,1000501,單 153號至 311號,odd;~NUMBER:153:311
36045,1000501,單 313號至 485號,odd;~NUMBER:313:485
36055,1000501,單 487號至 823號,odd;~NUMBER:487:823
36048,1000501,單 825號以上,odd;>NUMBER:825
36041,1000501,雙 178號以下,even;<NUMBER:178
36044,1000501,雙 180號至 342號,even;~NUMBER:180:342
36045,1000501,雙 356號至 494號,even;~NUMBER:356:494
36055,1000501,雙 496號至 862號,even;~NUMBER:496:862
36048,1000501,雙 864號以上,even;>NUMBER:864
