82543,6402000,單 137號以下,odd;<NUMBER:137
82541,6402000,單 139號以上,odd;>NUMBER:139
82543,6402000,雙 146號以下,even;<NUMBER:146
82541,6402000,雙 148號至 298號,even;~NUMBER:148:298
