90065,1001301,單  41號以下,odd;<NUMBER:41
90071,1001301,單  43號以上,odd;>NUMBER:43
90065,1001301,雙  42號以下,even;<NUMBER:42
90071,1001301,雙  44號以上,even;>NUMBER:44
