23562,6500300,單 187號以下,odd;<NUMBER:187
23561,6500300,單 189號至 267之   1號,odd;~NUMBER:189:267之1
23559,6500300,單 269號至 333號,odd;~NUMBER:269:333
23553,6500300,單 335號至 433號,odd;~NUMBER:335:433
23557,6500300,單 435號以上,odd;>NUMBER:435
23576,6500300,雙 128號以下,even;<NUMBER:128
23562,6500300,雙 130號至 192號,even;~NUMBER:130:192
23561,6500300,雙 194號至 264號,even;~NUMBER:194:264
23559,6500300,雙 266號至 400號,even;~NUMBER:266:400
23553,6500300,雙 402號至 428號,even;~NUMBER:402:428
23557,6500300,雙 430號至 488號,even;~NUMBER:430:488
23556,6500300,雙 490號以上,even;>NUMBER:490
