40041,6600100,連 149號以下,=SECTION:3;<NUMBER:149
40244,6600300,全,=SECTION:1;all
40346,6600400,連  47號以下,=SECTION:2;<NUMBER:47
40357,6600400,連 109號以上,=SECTION:2;>NUMBER:109
40355,6600400,連  52號至 105號,=SECTION:2;~NUMBER:52:105
40443,6600500,連 150號以上,=SECTION:3;>NUMBER:150
40443,6600500,連   8號以下,=SECTION:4;<NUMBER:8
40458,6600500,連   9號至  54號,=SECTION:4;~NUMBER:9:54
40446,6600500,連  55號至  60巷,=SECTION:4;~LANE:55:60
40458,6600500,連  61號至  93號,=SECTION:4;~NUMBER:61:93
40454,6600500,連  95號至 100號,=SECTION:4;~NUMBER:95:100
