80458,6400200,單 901號以上,odd;>NUMBER:901
80458,6400200,雙1104號以上,even;>NUMBER:1104
80794,6400500,單 125號以下,odd;<NUMBER:125
80794,6400500,雙 120號以下,even;<NUMBER:120
81359,6400300,單 127號至 281號,odd;~NUMBER:127:281
81366,6400300,單 283號至 899號,odd;~NUMBER:283:899
81366,6400300,雙 122號至1102號,even;~NUMBER:122:1102
