40147,6600200,雙 168號以下,even;<NUMBER:168
41156,6602700,單 295號以下,odd;<NUMBER:295
41157,6602700,單 297號以上,odd;>NUMBER:297
41156,6602700,雙 210號至 362號,even;~NUMBER:210:362
41157,6602700,雙 366號以上,even;>NUMBER:366
