42045,6600900,單 199號以下,odd;<NUMBER:199
42076,6600900,單 201號至 593號,odd;~NUMBER:201:593
42084,6600900,單 601號以上,odd;>NUMBER:601
42045,6600900,雙 196號以下,even;<NUMBER:196
42076,6600900,雙 198號至 620號,even;~NUMBER:198:620
42084,6600900,雙 640號以上,even;>NUMBER:640
