27044,1000203,單  99號以下,odd;<NUMBER:99
27045,1000203,單 101號以上,odd;>NUMBER:101
27044,1000203,雙   6號至  62號,even;~NUMBER:6:62
27045,1000203,雙 202號以上,even;>NUMBER:202
