65145,1000906,單  37號以下,odd;<NUMBER:37
65141,1000906,單  39號以上,odd;>NUMBER:39
65145,1000906,雙  36號以下,even;<NUMBER:36
65141,1000906,雙  38號以上,even;>NUMBER:38
