23447,6500400,單 305巷以上,odd;>LANE:305
23575,6500300,單 285號以下,odd;<NUMBER:285
23575,6500300,雙 260號以下,even;<NUMBER:260
23574,6500300,雙 262號以上,even;>NUMBER:262
