22162,6501100,單 371號以下,odd;<NUMBER:371
22141,6501100,單 373號以上,odd;>NUMBER:373
22162,6501100,雙 258號以下,even;<NUMBER:258
22141,6501100,雙 260號以上,even;>NUMBER:260
