71755,6702700,連  59號以下,=SECTION:1;<NUMBER:59
71755,6702700,連  61號以上,=SECTION:1;>NUMBER:61
71710,6702700,　  60號,=SECTION:1;=NUMBER:60
71755,6702700,全,=SECTION:2;all
