11156,6301100,單  63號以下,odd;<NUMBER:63
11157,6301100,單  65號至  99號,odd;~NUMBER:65:99
11157,6301100,雙  78號以下,even;<NUMBER:78
11283,6301200,單 101號以上,odd;>NUMBER:101
11283,6301200,雙 112號以上,even;>NUMBER:112
