80780,6400500,單 143號以下,odd;<NUMBER:143
80778,6400500,單 145號至 201號,odd;~NUMBER:145:201
80780,6400500,雙 142號以下,even;<NUMBER:142
80778,6400500,雙 144號至 224號,even;~NUMBER:144:224
