40447,6600500,單 329號以下,odd;<NUMBER:329
40461,6600500,單 331號以上,odd;>NUMBER:331
40447,6600500,雙 386號以下,even;<NUMBER:386
40461,6600500,雙 388號以上,even;>NUMBER:388
