90073,1001301,單  97巷以下,odd;<LANE:97
90063,1001301,單  99號以上,odd;>NUMBER:99
90073,1001301,雙  86號以下,even;<NUMBER:86
90063,1001301,雙  88號至 146之  11號,even;~NUMBER:88:146之11
90064,1001301,雙 148號以上,even;>NUMBER:148
