40451,6600500,單 113號以下,odd;<NUMBER:113
40463,6600500,單 115號至 135號,odd;~NUMBER:115:135
40451,6600500,雙 124號以下,even;<NUMBER:124
40463,6600500,雙 126號至 142號,even;~NUMBER:126:142
40646,6600800,單 141號以上,odd;>NUMBER:141
40646,6600800,雙 178號以上,even;>NUMBER:178
