85243,6402600,單  71號以下,=SECTION:1;odd;<NUMBER:71
85241,6402600,單  73號至 193號,=SECTION:1;odd;~NUMBER:73:193
85242,6402600,單 195號至 425號,=SECTION:1;odd;~NUMBER:195:425
85243,6402600,雙  38號以下,=SECTION:1;even;<NUMBER:38
85241,6402600,雙  40號至 198號,=SECTION:1;even;~NUMBER:40:198
85242,6402600,雙 200號至 446號,=SECTION:1;even;~NUMBER:200:446
85244,6402600,單 307號以下,=SECTION:2;odd;<NUMBER:307
85241,6402600,單 311號至 403號,=SECTION:2;odd;~NUMBER:311:403
85244,6402600,雙 416號以下,=SECTION:2;even;<NUMBER:416
85241,6402600,雙 418號以上,=SECTION:2;even;>NUMBER:418
