50050,1000701,單  13號以下,odd;<NUMBER:13
50049,1000701,單  15號以上,odd;>NUMBER:15
50050,1000701,雙  16號以下,even;<NUMBER:16
50049,1000701,雙  18號以上,even;>NUMBER:18
