81143,6400400,單 143號以下,odd;<NUMBER:143
81141,6400400,單 145號至 229號,odd;~NUMBER:145:229
81345,6400300,雙 150號以下,even;<NUMBER:150
81341,6400300,雙 152號至 238號,even;~NUMBER:152:238
