10364,6300600,單  43號以上,odd;>NUMBER:43
10364,6300600,雙  36號以上,even;>NUMBER:36
10452,6300400,單  41號以下,odd;<NUMBER:41
10452,6300400,雙  34號以下,even;<NUMBER:34
