11143,6301100,單 181號以下,odd;<NUMBER:181
11163,6301100,單 183號至 267號,odd;~NUMBER:183:267
11162,6301100,單 269號至 371號,odd;~NUMBER:269:371
11163,6301100,單 373號至 439號,odd;~NUMBER:373:439
11168,6301100,單 441號至 599號,odd;~NUMBER:441:599
11172,6301100,單 601號至 613號,odd;~NUMBER:601:613
11171,6301100,單 615號以上,odd;>NUMBER:615
11145,6301100,雙 212巷以下,even;<LANE:212
11162,6301100,雙 214號至 458號,even;~NUMBER:214:458
11165,6301100,雙 460號至 540號,even;~NUMBER:460:540
11172,6301100,雙 542號至 612號,even;~NUMBER:542:612
11173,6301100,雙 614號以上,even;>NUMBER:614
