80049,6400600,單  21號至 301號,odd;~NUMBER:21:301
80054,6400600,雙  14號以下,even;<NUMBER:14
80049,6400600,雙  16號至 310號,even;~NUMBER:16:310
80145,6400700,單  11號以下,odd;<NUMBER:11
80750,6400500,單 303號以上,odd;>NUMBER:303
80750,6400500,雙 312號以上,even;>NUMBER:312
